file_name,hypothesis,rule
JoF_2000_2021_full_text\10.txt,"We hypothesize that, by increasing the demand for dividends, a reduction in interest rate increases the valuation of high‐dividend‐yield stocks relative to that of low‐dividend‐yield stocks. Specifically, in Section II.",2
JoF_2000_2021_full_text\10.txt,"we examine the hypothesis that investors who live off income will also reach for income. Specifically, we expect that, following a decrease in interest rates, these investors tilt their portfolio toward high‐dividend assets to compensate for the lower interest income they receive on deposits and bonds.",5
JoF_2000_2021_full_text\1002.txt,"We reject the hypothesis that time effects can be omitted from our model, but find that the model captures a large share of the time‐variation in bankruptcies. Given our focus on differences in distress risk across firms and the pricing of distressed stocks, we do not pursue this issue further here.",5
JoF_2000_2021_full_text\1004.txt,Our hypothesis is that the past changes in price and book equity in (1) contain information about expected cashflows and expected returns that can improve estimates of expected returns.,4
JoF_2000_2021_full_text\1004.txt,Our null hypothesis is that breaking the B/M ratio into its components does not enhance the estimates of expected returns provided by BMt.,4
JoF_2000_2021_full_text\1004.txt,"Our hypothesis is that the components of BMt help disentangle the information in the ratio about expected cashflows and expected returns, thus enhancing estimates of expected returns. Our tests favor this hypothesis, and the results for Micro and ABM stocks are similar in three respects.",4
JoF_2000_2021_full_text\1005.txt,"we reject the hypothesis that θ8 = 1 at the 1% level. Because the short‐ and long‐run components determine log‐volatility additively, we are not able to identify the means of the two components separately, and we estimate only the mean of the long‐run component (θ7).",5
JoF_2000_2021_full_text\1006.txt,"f total expected attention requirements differ across panels and the ability to handle extreme attention requirements is a skill that differs across specialists, we would also expect the most skilled specialists to be assigned to the busiest panels. These arguments suggest that it may be variation in unexpected rather than total attention requirements that drives differences in liquidity provision. To test this hypothesis",6
JoF_2000_2021_full_text\1014.txt,"Hypothesis 1: MPI forecasts the equity returns of the firms in the industry from which it was obtained. In light of Hasbrouck's identification scheme, finding evidence in favor of Hypothesis 1 is a necessary condition to claiming that MPI is a measure of private information. Hypothesis 1 also tests a basic assum",3
JoF_2000_2021_full_text\1014.txt,"Hypothesis 2: Equity order flow driven by marketwide private information, MPI, forecasts changes in exchange rate returns. Evidence consistent with Hypothesis 2 is also consistent with MPI's role as a measure of marketwide information, that is, MPI contains information that is relevant in a variety of markets. I",3
JoF_2000_2021_full_text\1014.txt,"Hypothesis 2 we are not interested in all trades resulting from private information, but rather those trades that come from marketwide private information. This is because only the latter will have relevant information about aggregate factors that also drive exchange rates, as opposed to information about idiosy",3
JoF_2000_2021_full_text\1014.txt,"Hypothesis 1 is that MPI forecasts equity returns,  against HA:al≠0, for all l>0. Because a positive value of MPI is indicative of good news for firms in the industry, we also look for a positive cumulative response of equity returns to shocks to MPI: ∑l=1Lal>0. As indicated in (13), we use panel data methods to",3
JoF_2000_2021_full_text\1017.txt,"ation of the model in Section I is that a crash occurs in a region characterized by insiders being short‐sales constrained. In order for this to occur insiders must have sold shares in the past. So, the main prediction of the model is that sales by insiders in the recent past must be negatively correlated with the probability of a crash while sales in the distant past must be positively correlated. To test this hypothesis",6
JoF_2000_2021_full_text\1019.txt,"Hypothesis 2 is motivated by the idea that principal customer relationships are inherently risky, and likely to break down after several years. Especially for supplier firms producing unique products, such breakdowns are costly, since these suppliers are producing to a customer's specification, not the market. T",3
JoF_2000_2021_full_text\1026.txt,"we cannot reject the hypothesis that there are no “negative alpha” funds in our data.14 Note that the final period we consider is 2002 to 2003, since we require at least 1 year of out‐of‐sample data for our performance analysis, and several of the funds in the databases do not provide complete return histories for the year 2004.",5
JoF_2000_2021_full_text\1031.txt,"We test the hypothesis that return predictability is more (less) severe for those firms in which it is more (less) likely that information is simultaneously collected about both of the linked firms, reducing the inattention to the customer–supplier link.The proxy we use is “common ownership,”COMOWN.",5
JoF_2000_2021_full_text\1031.txt,"We simply test the hypothesis that, when compared to noncommon funds, common funds are more likely to be net purchasers (sellers) of a stock in quarters when linked firms experience large stock returns (controlling for the stock's own return), consistent with common ownership being a relaxation in the limited attention constraint.",5
JoF_2000_2021_full_text\1036.txt,"nism, are likely to arise. Marketing arrangements, where a firm becomes intimately acquainted with its alliance partner's product and end customers, also are subject to such risks. Because R&D and marketing alliances are more likely to require specific investments and to be characterized by greater uncertainty ex ante, one might expect sharing a VC to be more important for these types of alliances. To test this hypothesis",6
JoF_2000_2021_full_text\104.txt,"Hypothesis 1 essentially tests one class of theoretical models against another. The first class of models analyzes decentralized markets by assuming a continuum of zero‐mass agents that are randomly matched. This framework, developed in Duffie, Gârleanu, and Pedersen (2005), delivers tractability for dynamic mod",3
JoF_2000_2021_full_text\104.txt,"Hypothesis 2 states that central dealers are more informed. This hypothesis is one of the key findings in Babus and Kondor (2018), who study learning in an exogenously given dealer network. At the core of this result is what the authors call a “guessing game.” They show that each dealer's best guess of fundament",3
JoF_2000_2021_full_text\104.txt,"Hypothesis 5 conjectures that a market structure emerges with one market leading price revelation, and the others following. This could be the outcome of a technology‐choice game whereby dealers take decisions sequentially. In this case, one dealer's choice clearly affects the payoffs of the other dealers. Farbo",3
JoF_2000_2021_full_text\104.txt,"Hypothesis 4 states should be higher at times when there is more to be learned. The reason for such stronger search intensity in the model by Duffie, Malamud, and Manso (2009) is that an agent is called to “action” as governed by an independent Poisson process. The more uninformed an agent is when he is called t",3
JoF_2000_2021_full_text\104.txt,"Hypothesis 1: Nontrivial and Stable NetworkOur first hypothesis states that the network is nontrivial and stable. We first test for a core‐periphery structure, then, if we find one, we test whether it is stable over time.To test whether information revelation exhibits a core‐periphery structure, we focus on the ",3
JoF_2000_2021_full_text\104.txt,"Hypothesis 2: Central Dealers are Better InformedOur second hypothesis states that central dealers are better informed. We test this hypothesis in two ways. First, we pick the network map after half a second and verify whether, in the cross‐section of dealers, the most central ones are most informed. Second, we ",3
JoF_2000_2021_full_text\104.txt,"Hypothesis 3: Central Dealers Quote Wider SpreadsThe third hypothesis states that central dealers charge a higher bid‐ask spread. To test this hypothesis, Figure 5 presents a scatter plot of a dealer's centrality (Centrality0.2) against his quoted bid‐ask spread. The plot does not show a clear relationship, and ",3
JoF_2000_2021_full_text\104.txt,"Hypothesis 4: Stronger Information Revelation When There Is More to Be LearnedThe fourth hypothesis states that if there is more information to be learned, dealers become more strongly connected and information is revealed more quickly. The reason is that dealers are expected to search more intensively in such a",3
JoF_2000_2021_full_text\104.txt,"Hypothesis 5: The Steady‐State Network Develops as a “Big Bang”Our fifth hypothesis states that the steady‐state information revelation structure emerges gradually. Revelation starts centrally with one market dominating and others joining in sequentially, growing toward steady‐state dynamics. To test this hypoth",3
JoF_2000_2021_full_text\104.txt,", respectively. The results are qualitatively the same as for Model 1. In sum, we believe these Granger causality results suggest that dealers do indeed learn from becoming more central (possibly through increased RFQ participation) and therefore support Hypothesis 2. C. Hypothesis 3: Central Dealers Quote Wider SpreadsThe third hypothesis states that central dealers charge a higher bid‐ask spread. To test this hypothesis",6
JoF_2000_2021_full_text\104.txt,"st. We have only one such market and eight dealer markets and thus many more observations on the latter. E. Hypothesis 5: The Steady‐State Network Develops as a “Big Bang”Our fifth hypothesis states that the steady‐state information revelation structure emerges gradually. Revelation starts centrally with one market dominating and others joining in sequentially, growing toward steady‐state dynamics. To test this hypothesis",6
JoF_2000_2021_full_text\1041.txt,"Hypothesis 1: Controlling for other firm and loan characteristics, loan spreads should be lower for firms with public bond market access than for firms that do not have such access. Hypothesis 2: Controlling for other firm and loan characteristics, loan spreads should be higher in recessions than in expansions. ",3
JoF_2000_2021_full_text\1041.txt,"Hypothesis 3: Controlling for other firm and loan characteristics, the increase in loan spreads during recessions should be lower for firms with public bond market access than for firms without such access. These three hypotheses form the basis of our empirical work. Of these, the most critical are Hypotheses 1 ",3
JoF_2000_2021_full_text\1041.txt,"Hypothesis 1 is equivalent to δ being negative (firms with public market access pay lower spreads); Hypothesis 2 is equivalent to ζ being positive (recessions increase spreads); Hypothesis 3 is equivalent to η being negative (in recessions, spreads increase less for firms with public market access than for bank‐",3
